GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ACCSetup,com.ipme.poec.ACCSetup.Controller,ConditionController,4,3,0,0,1,1,1,1,1,1
ACCSetup,com.ipme.poec.ACCSetup.Controller,SetupController,42,3,0,0,7,1,4,1,4,1
ACCSetup,com.ipme.poec.ACCSetup.Controller,UserController,73,3,2,0,18,1,6,1,5,1
ACCSetup,com.ipme.poec.ACCSetup.Controller,SessionController,27,3,0,0,7,1,4,1,4,1
ACCSetup,com.ipme.poec.ACCSetup.Controller,CarController,4,3,0,0,1,1,1,1,1,1
ACCSetup,com.ipme.poec.ACCSetup.Controller,TrackController,4,3,0,0,1,1,1,1,1,1
ACCSetup,com.ipme.poec.ACCSetup.Controller,WeatherController,4,3,0,0,1,1,1,1,1,1
ACCSetup,com.ipme.poec.ACCSetup,SpringFoxConfig,0,14,0,0,0,6,0,2,0,2
ACCSetup,com.ipme.poec.ACCSetup,AccSetupApplication,5,7,0,0,2,2,1,2,1,2
ACCSetup,com.ipme.poec.ACCSetup.Model,Condition,39,18,8,0,10,8,8,4,4,4
ACCSetup,com.ipme.poec.ACCSetup.Model,User,72,32,8,0,21,14,11,8,7,8
ACCSetup,com.ipme.poec.ACCSetup.Model,Car,69,12,10,0,15,6,11,3,6,3
ACCSetup,com.ipme.poec.ACCSetup.Model,Session,76,37,7,1,24,16,11,10,7,10
ACCSetup,com.ipme.poec.ACCSetup.Model,Track,49,12,8,0,14,6,10,3,6,3
ACCSetup,com.ipme.poec.ACCSetup.Model,Weather,43,18,8,0,12,8,9,4,5,4
ACCSetup,com.ipme.poec.ACCSetup.Model,Setup,147,88,8,0,46,43,25,23,21,23
ACCSetup,com.ipme.poec.ACCSetup.Service.dto,SetupDTO,668,0,76,0,83,0,83,0,45,0
ACCSetup,com.ipme.poec.ACCSetup.Service.dto,CreateSetupDTO,207,0,38,0,19,0,32,0,13,0
ACCSetup,com.ipme.poec.ACCSetup.Service.dto,SessionDTO,345,0,56,0,33,0,49,0,21,0
ACCSetup,com.ipme.poec.ACCSetup.Service.dto,UpdateUserPasswordDTO,3,0,0,0,1,0,1,0,1,0
ACCSetup,com.ipme.poec.ACCSetup.Service.dto,CreateSessionDTO,3,0,0,0,1,0,1,0,1,0
ACCSetup,com.ipme.poec.ACCSetup.Service.dto,UpdateUserNameDTO,4,9,0,0,2,4,1,2,1,2
ACCSetup,com.ipme.poec.ACCSetup.Service.dto,CreateUserDTO,121,0,22,0,11,0,20,0,9,0
ACCSetup,com.ipme.poec.ACCSetup.Service.dto,UserDTO,87,41,20,0,14,15,13,10,3,10
ACCSetup,com.ipme.poec.ACCSetup.Service,UserService,59,106,1,3,15,31,6,12,5,11
ACCSetup,com.ipme.poec.ACCSetup.Service,TrackService,20,13,0,0,4,4,4,3,4,3
ACCSetup,com.ipme.poec.ACCSetup.Service,CarService,20,13,0,0,4,4,4,3,4,3
ACCSetup,com.ipme.poec.ACCSetup.Service,WeatherService,20,9,0,0,4,2,4,2,4,2
ACCSetup,com.ipme.poec.ACCSetup.Service,SetupService,150,135,0,0,39,40,14,6,14,6
ACCSetup,com.ipme.poec.ACCSetup.Service,ConditionService,20,9,0,0,4,2,4,2,4,2
ACCSetup,com.ipme.poec.ACCSetup.Service,SessionService,77,58,0,0,17,19,15,7,15,7
